Ada berapakah jumlah planet yang anda ketahui?, apa
Adakah yang mau membacakan cerita tentang Malin Kundang ini didepan kelas?, apa
Adakah yang peduli lagi terhadap masa depan panti ini?, apa
Apa ada alasan untuk menolakmu?, apa
Apa anda tahu berapa lama terjadi Rotasi Bulan terhadap Matahari?, apa
Apa ayah akan memaafkan kita?, apa
Apa benar kau yang mengambil uang milik adikku?, apa
Apa boleh saya pinjam pulpenmu sebentar?, apa
Apa buku ini milikmu?, apa
Apa dia temanmu?, apa
Apa fungsi dari RAM?, apa
Apa hari ini kamu memiliki kegiatan tertentu?, apa
Apa ibu memasak makanan kesukaanku hari ini?, apa
Apa kamu lupa bahwa hari ini adalah hari senin ?, apa
Apa kamu tega melihat aku di sini sendiri dan bersedih?, apa
Apa kamu tega melihat dirinya bersedih ?, apa
Apa kamu tidak bisa melihat tanda larangan itu?, apa
Apa kata mereka yang tidak tahu pokok persoalannya?, apa
Apa kita bisa melewati semua ujian ini?, apa
Kerjakan tugasku dong kamu pintar kan?, apa
Siapa yang datang menyelamatkan mereka?, siapa
Siapa dalang di balik terbakarnya hutan ini ?, siapa
Siapakah yang selama ini memperhatikan dirimu ?, siapa
Bukankah kamu yang meminta aku melakukan itu ?, siapa
Bukankah kamu yang bilang tidak bisa datang ?, siapa
Siapa gadis yang berambut merah itu ?, siapa
Sepertinya kamu kenal dengan gadis yang berkerudung merah itu kan?, siapa
Siapakah gadis yang juluki bunga desa itu?, siapa
Siapa yang bersedia mengikuti lomba menulis cerpen mewakili kelas kita untuk porseni nanti?, siapa
Siapa yang ingin mengikuti seleksi pemilihan pemeran romeo untuk pentas drama akhir semester nanti?, siapa
Siapa yang melakukan perbuatan sekeji ini?, siapa
Siapa yang memecahkan gelas didapur?, siapa
Siapa yang menghilangkan kamusku?, siapa
Siapakah nama orang tua anak itu?, siapa
Siapa yang akan mengantarmu ke stasiun kereta api besok pagi?, siapa
Siapa yang tak mengenal Dian Sastrowardoyo?, siapa
Siapa yang mengantarkanmu pulang kemarin malam?, siapa
Siapa yang memulai keributan ini?, siapa
Siapa yang melatih kamu berkata kasar?, siapa
Siapa yang mengetik naskah proklamasi?, siapa
Siapa yang menangani kasus pengeroyokan tadi malam?, siapa
Bagaimana kisah perjalanan hidupnya?, bagaimana
Bagaimana caranya berita itu bisa terungkap?, bagaimana
Bagiamana cara menanggulangi masalah ini ?, bagaimana
Bagaimana cara menyelesaikan soal mengenai algoritma ini?, bagaimana
Bagaimana kamu bisa melakukan ini semua dalam beberapa detik saja?, bagaimana
Bagaimana keadaan Lita sekarang?, bagaimana
Bagaimana menghilangkan kantuk ketika sedang mengemudi?, bagaimana
Bagaimana peristiwa robohnya jembatan layang?, bagaimana
Bagaimana jika akhir pekan nanti kita berkumpul untuk mendiskusikan susunan acaranya?, bagaimana
Bagaimana bisa saya menolak permintaan Anda?, bagaimana
Bagaimana kau meredakan keributan di tempat ini?, bagaimana
Bagaimana kabarmu hari ini?, bagaimana
Bagaimana proses terjadinya hujan?, bagaimana
Bagaimana cara kita membantu umat muslim Rohingya?, bagaimana
Bagaimana pemerintah mengatasi kemiskinan yang kian meluas?, bagaimana
Bagaimana kau bisa membiarkannya menangis?, bagaimana
Bagaimana cara menurunkan tekanan darah tinggi?, bagaimana
Bagaimana cara kerja robot pemadam api?, bagaimana
Bagaimana langkah pemerintah menenangkan gelombang massa yang semakin membludak?, bagaimana
Tahukah anda cara menyelesaikan persamaan ini?, bagaimana
Bagaimana kita bisa memahami makna kalimat tersebut?, bagaimana

